Feature_type,Target,Edge,Node_weights,Input_Graph_nodes,Input_Graph_edges,Input_graph_posedge_per,Output_Graph_nodes,Output_Graph_edges,Output_graph_posedge_per,Features_preserved_per,ROI_strl_thresh,Classifier,Choice,Feature Selection,Percentage,Refit Metric,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
num_streamlines,Openness,pearson,-0.01,84,609,100,15,68,100,1.905,0.01,SVC,test throw median,solver,1.905,balanced_accuracy,100,100,100,100,44.177,45.098,51.724,50
num_streamlines,Agreeableness,pearson,-0.01,84,610,100,15,67,100,1.877,0.01,SVC,test throw median,solver,1.877,balanced_accuracy,67.653,73.109,52.941,81.983,47.931,53.061,25.806,53.276
mean_FA,Conscientiousness,pearson,-0.01,84,613,100,15,65,100,1.821,0.01,SVC,test throw median,solver,1.821,balanced_accuracy,90.882,90.909,90.385,97.281,47.143,48.98,32.432,48.776
mean_FA,Agreeableness,pearson,-0.01,84,1629,100,10,45,100,1.261,0.001,SVC,test throw median,solver,1.261,balanced_accuracy,83.673,84.034,80.808,16.093,50.086,51.02,42.857,49.828
mean_FA,Conscientiousness,pearson,-0.01,84,1633,100,10,44,100,1.232,0.001,SVC,test throw median,solver,1.232,balanced_accuracy,91.943,91.818,91.589,94.032,51.429,48.98,39.024,48.163
mean_FA,Agreeableness,pearson,-0.01,84,608,100,10,43,100,1.204,0.01,SVC,test throw median,solver,1.204,balanced_accuracy,50,58.824,0,44.023,50,59.184,0,49.138
mean_FA,Extraversion,pearson,-0.01,84,610,100,10,42,100,1.176,0.01,SVC,test throw median,solver,1.176,balanced_accuracy,50,53.39,0,40.26,50,46.809,0,44
mean_FA,Openness,pearson,-0.01,84,841,100,10,41,100,1.148,0.005,SVC,test throw median,solver,1.148,balanced_accuracy,64.903,66.071,58.696,66.839,49.689,49.02,48,52.329
mean_FA,Agreeableness,pearson,-0.01,84,837,100,10,40,100,1.12,0.005,SVC,test throw median,solver,1.12,balanced_accuracy,68.061,68.908,62.626,33.382,56.983,59.184,47.368,43.621
mean_FA,Openness,pearson,-0.01,84,611,100,10,39,100,1.092,0.01,SVC,test throw median,solver,1.092,balanced_accuracy,70.516,71.429,65.957,79.677,47.283,45.098,33.333,55.202
mean_strl,Openness,pearson,-0.01,84,841,100,10,38,100,1.064,0.005,SVC,test throw median,solver,1.064,balanced_accuracy,71.161,73.214,63.415,76.629,51.242,49.02,38.095,61.025
num_streamlines,Openness,pearson,-0.01,84,609,100,10,37,100,1.036,0.01,SVC,test throw median,solver,1.036,balanced_accuracy,87.774,88.393,86.316,92.774,44.953,45.098,48.148,43.944
num_streamlines,Neuroticism,pearson,-0.01,84,616,100,10,34,100,0.952,0.01,SVC,test throw median,solver,0.952,balanced_accuracy,76.389,76.271,75,80.657,45.318,44.898,42.553,51.171
mean_FA,Conscientiousness,pearson,-0.01,84,613,100,10,31,100,0.868,0.01,SVC,test throw median,solver,0.868,balanced_accuracy,81.565,81.818,80,90.65,35.714,38.776,21.053,40
mean_strl,Openness,pearson,-0.01,84,611,100,10,30,100,0.84,0.01,SVC,test throw median,solver,0.84,balanced_accuracy,65.355,67.857,53.846,69.871,51.63,49.02,35,58.851
mean_FA,Agreeableness,pearson,-0.01,84,608,100,5,10,100,0.28,0.01,SVC,test throw median,solver,0.28,balanced_accuracy,50,58.824,0,43.848,50,59.184,0,53.621
mean_FA,Conscientiousness,pearson,-0.01,84,840,100,5,9,100,0.252,0.005,SVC,test throw median,solver,0.252,balanced_accuracy,69.662,70,66.667,75.879,59.286,63.265,43.75,54.286
